"subject","activity","variable","average"
12,"LAYING","fBodyAcc-mad()-X",-0.9560047545
12,"SITTING","fBodyAcc-mad()-X",-0.980594514705882
12,"STANDING","fBodyAcc-mad()-X",-0.979413740327869
12,"WALKING","fBodyAcc-mad()-X",0.00108813276588
12,"WALKING_DOWNSTAIRS","fBodyAcc-mad()-X",0.0690598993608696
12,"WALKING_UPSTAIRS","fBodyAcc-mad()-X",-0.247000870480769
13,"LAYING","fBodyAcc-mad()-X",-0.973291638225806
13,"SITTING","fBodyAcc-mad()-X",-0.990048233673469
13,"STANDING","fBodyAcc-mad()-X",-0.990355191754386
13,"WALKING","fBodyAcc-mad()-X",-0.295502779824561
13,"WALKING_DOWNSTAIRS","fBodyAcc-mad()-X",0.030174696433617
13,"WALKING_UPSTAIRS","fBodyAcc-mad()-X",-0.307722931090909
14,"LAYING","fBodyAcc-mad()-X",-0.922832769019608
14,"SITTING","fBodyAcc-mad()-X",-0.974409118703704
14,"STANDING","fBodyAcc-mad()-X",-0.971009270333333
14,"WALKING","fBodyAcc-mad()-X",-0.370974096779661
14,"WALKING_DOWNSTAIRS","fBodyAcc-mad()-X",0.111266897917778
14,"WALKING_UPSTAIRS","fBodyAcc-mad()-X",-0.25958402669
15,"LAYING","fBodyAcc-mad()-X",-0.9733485275
15,"SITTING","fBodyAcc-mad()-X",-0.987049730169491
15,"STANDING","fBodyAcc-mad()-X",-0.987683197924528
15,"WALKING","fBodyAcc-mad()-X",-0.245529770296296
15,"WALKING_DOWNSTAIRS","fBodyAcc-mad()-X",0.39771729047619
15,"WALKING_UPSTAIRS","fBodyAcc-mad()-X",0.06675140545
16,"LAYING","fBodyAcc-mad()-X",-0.977683506285714
16,"SITTING","fBodyAcc-mad()-X",-0.987112147971015
16,"STANDING","fBodyAcc-mad()-X",-0.989348681025641
16,"WALKING","fBodyAcc-mad()-X",-0.334805240392157
16,"WALKING_DOWNSTAIRS","fBodyAcc-mad()-X",0.155178799085106
16,"WALKING_UPSTAIRS","fBodyAcc-mad()-X",-0.419245638823529
17,"LAYING","fBodyAcc-mad()-X",-0.973878915774648
17,"SITTING","fBodyAcc-mad()-X",-0.99414697078125
17,"STANDING","fBodyAcc-mad()-X",-0.991342755769231
17,"WALKING","fBodyAcc-mad()-X",-0.263163221934426
17,"WALKING_DOWNSTAIRS","fBodyAcc-mad()-X",0.16284779398913
17,"WALKING_UPSTAIRS","fBodyAcc-mad()-X",0.00958388283
18,"LAYING","fBodyAcc-mad()-X",-0.985106123692308
18,"SITTING","fBodyAcc-mad()-X",-0.993586001052632
18,"STANDING","fBodyAcc-mad()-X",-0.990897604246575
18,"WALKING","fBodyAcc-mad()-X",-0.298336604821429
18,"WALKING_DOWNSTAIRS","fBodyAcc-mad()-X",-0.272669039618182
18,"WALKING_UPSTAIRS","fBodyAcc-mad()-X",-0.381199786551724
19,"LAYING","fBodyAcc-mad()-X",-0.97272602626506
19,"SITTING","fBodyAcc-mad()-X",-0.978177730958904
19,"STANDING","fBodyAcc-mad()-X",-0.988458343287671
19,"WALKING","fBodyAcc-mad()-X",0.00417788225769231
19,"WALKING_DOWNSTAIRS","fBodyAcc-mad()-X",0.633799886666667
19,"WALKING_UPSTAIRS","fBodyAcc-mad()-X",-0.10388037275175
20,"LAYING","fBodyAcc-mad()-X",-0.963679333676471
20,"SITTING","fBodyAcc-mad()-X",-0.981492939545455
20,"STANDING","fBodyAcc-mad()-X",-0.961355375342466
20,"WALKING","fBodyAcc-mad()-X",-0.11032537048902
20,"WALKING_DOWNSTAIRS","fBodyAcc-mad()-X",0.122367644184444
20,"WALKING_UPSTAIRS","fBodyAcc-mad()-X",-0.0111845279117647
21,"LAYING","fBodyAcc-mad()-X",-0.965318956111111
21,"SITTING","fBodyAcc-mad()-X",-0.991309704352941
21,"STANDING","fBodyAcc-mad()-X",-0.97946172988764
21,"WALKING","fBodyAcc-mad()-X",-0.246460634461538
21,"WALKING_DOWNSTAIRS","fBodyAcc-mad()-X",0.231235823155556
21,"WALKING_UPSTAIRS","fBodyAcc-mad()-X",-0.271674589234043
22,"LAYING","fBodyAcc-mad()-X",-0.951341364027778
22,"SITTING","fBodyAcc-mad()-X",-0.979843940322581
22,"STANDING","fBodyAcc-mad()-X",-0.982817864126984
22,"WALKING","fBodyAcc-mad()-X",-0.0571872394826087
22,"WALKING_DOWNSTAIRS","fBodyAcc-mad()-X",0.2684249005
22,"WALKING_UPSTAIRS","fBodyAcc-mad()-X",-0.0798493141952381
23,"LAYING","fBodyAcc-mad()-X",-0.967492734027778
23,"SITTING","fBodyAcc-mad()-X",-0.987450163088235
23,"STANDING","fBodyAcc-mad()-X",-0.984406788235294
23,"WALKING","fBodyAcc-mad()-X",-0.229699171033898
23,"WALKING_DOWNSTAIRS","fBodyAcc-mad()-X",0.231408557314815
23,"WALKING_UPSTAIRS","fBodyAcc-mad()-X",-0.217210990647059
24,"LAYING","fBodyAcc-mad()-X",-0.974397679583333
24,"SITTING","fBodyAcc-mad()-X",-0.989619377794118
24,"STANDING","fBodyAcc-mad()-X",-0.985390776521739
24,"WALKING","fBodyAcc-mad()-X",-0.461519955
24,"WALKING_DOWNSTAIRS","fBodyAcc-mad()-X",-0.0901796015454545
24,"WALKING_UPSTAIRS","fBodyAcc-mad()-X",-0.311288965254237
25,"LAYING","fBodyAcc-mad()-X",-0.922846383424658
25,"SITTING","fBodyAcc-mad()-X",-0.991596408615385
25,"STANDING","fBodyAcc-mad()-X",-0.990754433648649
25,"WALKING","fBodyAcc-mad()-X",-0.579222254324324
25,"WALKING_DOWNSTAIRS","fBodyAcc-mad()-X",-0.274277103241379
25,"WALKING_UPSTAIRS","fBodyAcc-mad()-X",-0.442095427076923
26,"LAYING","fBodyAcc-mad()-X",-0.973581740657895
26,"SITTING","fBodyAcc-mad()-X",-0.982348336153846
26,"STANDING","fBodyAcc-mad()-X",-0.992577691486486
26,"WALKING","fBodyAcc-mad()-X",-0.272799348559322
26,"WALKING_DOWNSTAIRS","fBodyAcc-mad()-X",0.217068509042
26,"WALKING_UPSTAIRS","fBodyAcc-mad()-X",-0.196382489672727
27,"LAYING","fBodyAcc-mad()-X",-0.980021752027027
27,"SITTING","fBodyAcc-mad()-X",-0.988712741857143
27,"STANDING","fBodyAcc-mad()-X",-0.99090169675
27,"WALKING","fBodyAcc-mad()-X",-0.262293751175439
27,"WALKING_DOWNSTAIRS","fBodyAcc-mad()-X",0.168916943681818
27,"WALKING_UPSTAIRS","fBodyAcc-mad()-X",-0.347422217156863
28,"LAYING","fBodyAcc-mad()-X",-0.97257040275
28,"SITTING","fBodyAcc-mad()-X",-0.981267728472222
28,"STANDING","fBodyAcc-mad()-X",-0.973984362151899
28,"WALKING","fBodyAcc-mad()-X",-0.210191983166667
28,"WALKING_DOWNSTAIRS","fBodyAcc-mad()-X",0.158498018891304
28,"WALKING_UPSTAIRS","fBodyAcc-mad()-X",-0.216033078119608
29,"LAYING","fBodyAcc-mad()-X",-0.985877207971015
29,"SITTING","fBodyAcc-mad()-X",-0.991228477666667
29,"STANDING","fBodyAcc-mad()-X",-0.995706830307692
29,"WALKING","fBodyAcc-mad()-X",-0.10295775770566
29,"WALKING_DOWNSTAIRS","fBodyAcc-mad()-X",0.201404241604167
29,"WALKING_UPSTAIRS","fBodyAcc-mad()-X",-0.0100264274102041
30,"LAYING","fBodyAcc-mad()-X",-0.973822693857143
30,"SITTING","fBodyAcc-mad()-X",-0.984146513064516
30,"STANDING","fBodyAcc-mad()-X",-0.973359730847458
30,"WALKING","fBodyAcc-mad()-X",-0.304920045092308
30,"WALKING_DOWNSTAIRS","fBodyAcc-mad()-X",-0.00461218965483871
30,"WALKING_UPSTAIRS","fBodyAcc-mad()-X",-0.321138972015385
1,"LAYING","fBodyAcc-mean()-Y",-0.86706520518
1,"SITTING","fBodyAcc-mean()-Y",-0.944084550425532
1,"STANDING","fBodyAcc-mean()-Y",-0.977070847735849
1,"WALKING","fBodyAcc-mean()-Y",0.0897127264021053
1,"WALKING_DOWNSTAIRS","fBodyAcc-mean()-Y",0.00154990783591837
1,"WALKING_UPSTAIRS","fBodyAcc-mean()-Y",-0.190976720811321
2,"LAYING","fBodyAcc-mean()-Y",-0.979800877916667
2,"SITTING","fBodyAcc-mean()-Y",-0.957343498478261
2,"STANDING","fBodyAcc-mean()-Y",-0.959871697407407
2,"WALKING","fBodyAcc-mean()-Y",-0.0219048103322034
2,"WALKING_DOWNSTAIRS","fBodyAcc-mean()-Y",0.278345041765957
2,"WALKING_UPSTAIRS","fBodyAcc-mean()-Y",0.00992445881854167
3,"LAYING","fBodyAcc-mean()-Y",-0.961169982903226
3,"SITTING","fBodyAcc-mean()-Y",-0.891907751346154
3,"STANDING","fBodyAcc-mean()-Y",-0.908075353770492
3,"WALKING","fBodyAcc-mean()-Y",-0.0813024353275862
3,"WALKING_DOWNSTAIRS","fBodyAcc-mean()-Y",-0.00770048300204082
3,"WALKING_UPSTAIRS","fBodyAcc-mean()-Y",-0.0788094156644068
4,"LAYING","fBodyAcc-mean()-Y",-0.938883374444444
4,"SITTING","fBodyAcc-mean()-Y",-0.9057829318
4,"STANDING","fBodyAcc-mean()-Y",-0.889549205
4,"WALKING","fBodyAcc-mean()-Y",-0.14939963344
4,"WALKING_DOWNSTAIRS","fBodyAcc-mean()-Y",-0.129606639466667
4,"WALKING_UPSTAIRS","fBodyAcc-mean()-Y",-0.117109161492308
5,"LAYING","fBodyAcc-mean()-Y",-0.965419520961538
5,"SITTING","fBodyAcc-mean()-Y",-0.921434735681818
5,"STANDING","fBodyAcc-mean()-Y",-0.890796360535714
5,"WALKING","fBodyAcc-mean()-Y",0.00946037755178572
5,"WALKING_DOWNSTAIRS","fBodyAcc-mean()-Y",0.0792280694042553
5,"WALKING_UPSTAIRS","fBodyAcc-mean()-Y",0.0728903158085106
6,"LAYING","fBodyAcc-mean()-Y",-0.923706791403509
6,"SITTING","fBodyAcc-mean()-Y",-0.928264365454545
6,"STANDING","fBodyAcc-mean()-Y",-0.930336471754386
6,"WALKING","fBodyAcc-mean()-Y",0.140781621991228
6,"WALKING_DOWNSTAIRS","fBodyAcc-mean()-Y",0.339771173822917
6,"WALKING_UPSTAIRS","fBodyAcc-mean()-Y",0.0978035099588235
7,"LAYING","fBodyAcc-mean()-Y",-0.942193953846154
7,"SITTING","fBodyAcc-mean()-Y",-0.93149063375
7,"STANDING","fBodyAcc-mean()-Y",-0.941883783773585
7,"WALKING","fBodyAcc-mean()-Y",-0.0641564202736842
7,"WALKING_DOWNSTAIRS","fBodyAcc-mean()-Y",-0.145302311446808
7,"WALKING_UPSTAIRS","fBodyAcc-mean()-Y",-0.381590523137255
8,"LAYING","fBodyAcc-mean()-Y",-0.951816663703704
8,"SITTING","fBodyAcc-mean()-Y",-0.94421971826087
8,"STANDING","fBodyAcc-mean()-Y",-0.9500491
8,"WALKING","fBodyAcc-mean()-Y",0.316982393333333
8,"WALKING_DOWNSTAIRS","fBodyAcc-mean()-Y",0.388412779763158
8,"WALKING_UPSTAIRS","fBodyAcc-mean()-Y",0.263431399878049
9,"LAYING","fBodyAcc-mean()-Y",-0.9343665984
9,"SITTING","fBodyAcc-mean()-Y",-0.911683219
9,"STANDING","fBodyAcc-mean()-Y",-0.944849431777778
9,"WALKING","fBodyAcc-mean()-Y",-0.257677616153846
9,"WALKING_DOWNSTAIRS","fBodyAcc-mean()-Y",-0.183120455428571
9,"WALKING_UPSTAIRS","fBodyAcc-mean()-Y",-0.405022798163265
10,"LAYING","fBodyAcc-mean()-Y",-0.954341849137931
10,"SITTING","fBodyAcc-mean()-Y",-0.9404502
10,"STANDING","fBodyAcc-mean()-Y",-0.923378745227273
10,"WALKING","fBodyAcc-mean()-Y",0.0533911909886792
10,"WALKING_DOWNSTAIRS","fBodyAcc-mean()-Y",0.00904660360263158
10,"WALKING_UPSTAIRS","fBodyAcc-mean()-Y",-0.0390688222212766
11,"LAYING","fBodyAcc-mean()-Y",-0.971403935438596
11,"SITTING","fBodyAcc-mean()-Y",-0.934503182830189
11,"STANDING","fBodyAcc-mean()-Y",-0.968703072553191
11,"WALKING","fBodyAcc-mean()-Y",-0.0830478435976271
11,"WALKING_DOWNSTAIRS","fBodyAcc-mean()-Y",0.0247508134326087
11,"WALKING_UPSTAIRS","fBodyAcc-mean()-Y",-0.254645206944444
12,"LAYING","fBodyAcc-mean()-Y",-0.951265971
12,"SITTING","fBodyAcc-mean()-Y",-0.942768016862745
12,"STANDING","fBodyAcc-mean()-Y",-0.932775677704918
12,"WALKING","fBodyAcc-mean()-Y",-0.071302455092
12,"WALKING_DOWNSTAIRS","fBodyAcc-mean()-Y",0.150510001156522
12,"WALKING_UPSTAIRS","fBodyAcc-mean()-Y",-0.168341519859615
13,"LAYING","fBodyAcc-mean()-Y",-0.965843757258064
13,"SITTING","fBodyAcc-mean()-Y",-0.959673916122449
13,"STANDING","fBodyAcc-mean()-Y",-0.959427618245614
13,"WALKING","fBodyAcc-mean()-Y",0.0955150666694737
13,"WALKING_DOWNSTAIRS","fBodyAcc-mean()-Y",-0.0364535247659574
13,"WALKING_UPSTAIRS","fBodyAcc-mean()-Y",-0.0636564765818182
14,"LAYING","fBodyAcc-mean()-Y",-0.930366906078431
14,"SITTING","fBodyAcc-mean()-Y",-0.932644766111111
14,"STANDING","fBodyAcc-mean()-Y",-0.942178248333333
14,"WALKING","fBodyAcc-mean()-Y",-0.174601844847458
14,"WALKING_DOWNSTAIRS","fBodyAcc-mean()-Y",0.3714824704
14,"WALKING_UPSTAIRS","fBodyAcc-mean()-Y",0.0163939234574074
15,"LAYING","fBodyAcc-mean()-Y",-0.962461124305556
15,"SITTING","fBodyAcc-mean()-Y",-0.938926430779661
15,"STANDING","fBodyAcc-mean()-Y",-0.943348788679245
15,"WALKING","fBodyAcc-mean()-Y",0.111321097159074
15,"WALKING_DOWNSTAIRS","fBodyAcc-mean()-Y",0.167518099964286
15,"WALKING_UPSTAIRS","fBodyAcc-mean()-Y",-0.1019354328
16,"LAYING","fBodyAcc-mean()-Y",-0.963635575142857
16,"SITTING","fBodyAcc-mean()-Y",-0.961456685507246
16,"STANDING","fBodyAcc-mean()-Y",-0.96931401525641
16,"WALKING","fBodyAcc-mean()-Y",-0.321500667843137
16,"WALKING_DOWNSTAIRS","fBodyAcc-mean()-Y",-0.134598352726809
16,"WALKING_UPSTAIRS","fBodyAcc-mean()-Y",-0.268063812745098
17,"LAYING","fBodyAcc-mean()-Y",-0.954648102253521
17,"SITTING","fBodyAcc-mean()-Y",-0.96992798921875
17,"STANDING","fBodyAcc-mean()-Y",-0.97417056948718
17,"WALKING","fBodyAcc-mean()-Y",-0.0650267622126229
17,"WALKING_DOWNSTAIRS","fBodyAcc-mean()-Y",-0.130272514565217
17,"WALKING_UPSTAIRS","fBodyAcc-mean()-Y",-0.1175197356
18,"LAYING","fBodyAcc-mean()-Y",-0.984909884615385
18,"SITTING","fBodyAcc-mean()-Y",-0.976538530350877
18,"STANDING","fBodyAcc-mean()-Y",-0.961239135479452
18,"WALKING","fBodyAcc-mean()-Y",-0.24360627125
18,"WALKING_DOWNSTAIRS","fBodyAcc-mean()-Y",-0.309049613818182
18,"WALKING_UPSTAIRS","fBodyAcc-mean()-Y",-0.363450742586207
19,"LAYING","fBodyAcc-mean()-Y",-0.972798824096386
19,"SITTING","fBodyAcc-mean()-Y",-0.960763181917808
19,"STANDING","fBodyAcc-mean()-Y",-0.952872872465753
19,"WALKING","fBodyAcc-mean()-Y",0.169258575663077
19,"WALKING_DOWNSTAIRS","fBodyAcc-mean()-Y",0.494457802230769
19,"WALKING_UPSTAIRS","fBodyAcc-mean()-Y",0.111818164225
20,"LAYING","fBodyAcc-mean()-Y",-0.965595958382353
20,"SITTING","fBodyAcc-mean()-Y",-0.945198619242424
20,"STANDING","fBodyAcc-mean()-Y",-0.898194212465753
20,"WALKING","fBodyAcc-mean()-Y",0.403465950921569
20,"WALKING_DOWNSTAIRS","fBodyAcc-mean()-Y",0.524187686888889
20,"WALKING_UPSTAIRS","fBodyAcc-mean()-Y",-0.0293832440223529
21,"LAYING","fBodyAcc-mean()-Y",-0.960069247
21,"SITTING","fBodyAcc-mean()-Y",-0.968060947058824
21,"STANDING","fBodyAcc-mean()-Y",-0.949694904269663
21,"WALKING","fBodyAcc-mean()-Y",0.0338465813711538
21,"WALKING_DOWNSTAIRS","fBodyAcc-mean()-Y",0.181138042506667
21,"WALKING_UPSTAIRS","fBodyAcc-mean()-Y",0.0221598658106383
22,"LAYING","fBodyAcc-mean()-Y",-0.925524703472222
22,"SITTING","fBodyAcc-mean()-Y",-0.939546007903226
22,"STANDING","fBodyAcc-mean()-Y",-0.929161387619048
22,"WALKING","fBodyAcc-mean()-Y",0.145367520371739
22,"WALKING_DOWNSTAIRS","fBodyAcc-mean()-Y",0.225766560777778
22,"WALKING_UPSTAIRS","fBodyAcc-mean()-Y",0.13068653882619
23,"LAYING","fBodyAcc-mean()-Y",-0.982072295833333
23,"SITTING","fBodyAcc-mean()-Y",-0.953460406470588
23,"STANDING","fBodyAcc-mean()-Y",-0.962831825294118
23,"WALKING","fBodyAcc-mean()-Y",-0.0724367317966102
23,"WALKING_DOWNSTAIRS","fBodyAcc-mean()-Y",0.0959432893981482
23,"WALKING_UPSTAIRS","fBodyAcc-mean()-Y",-0.0769773944803922
24,"LAYING","fBodyAcc-mean()-Y",-0.980830362083333
24,"SITTING","fBodyAcc-mean()-Y",-0.962773200147059
24,"STANDING","fBodyAcc-mean()-Y",-0.948970158405797
24,"WALKING","fBodyAcc-mean()-Y",-0.203193741396552
24,"WALKING_DOWNSTAIRS","fBodyAcc-mean()-Y",-0.0861829752472727
24,"WALKING_UPSTAIRS","fBodyAcc-mean()-Y",-0.252412541966102
25,"LAYING","fBodyAcc-mean()-Y",-0.78494581909589
25,"SITTING","fBodyAcc-mean()-Y",-0.959117259384615
25,"STANDING","fBodyAcc-mean()-Y",-0.959846189054054
25,"WALKING","fBodyAcc-mean()-Y",-0.251880271094595
25,"WALKING_DOWNSTAIRS","fBodyAcc-mean()-Y",-0.196381053741379
25,"WALKING_UPSTAIRS","fBodyAcc-mean()-Y",-0.380150805384615
26,"LAYING","fBodyAcc-mean()-Y",-0.983664034342105
26,"SITTING","fBodyAcc-mean()-Y",-0.954299410641026
26,"STANDING","fBodyAcc-mean()-Y",-0.958402317837838
26,"WALKING","fBodyAcc-mean()-Y",-0.146702156576271
26,"WALKING_DOWNSTAIRS","fBodyAcc-mean()-Y",-0.006237000044
26,"WALKING_UPSTAIRS","fBodyAcc-mean()-Y",-0.185528313272727
27,"LAYING","fBodyAcc-mean()-Y",-0.982915951891892
27,"SITTING","fBodyAcc-mean()-Y",-0.974057855571429
27,"STANDING","fBodyAcc-mean()-Y",-0.961356141125
27,"WALKING","fBodyAcc-mean()-Y",-0.13678354122807
27,"WALKING_DOWNSTAIRS","fBodyAcc-mean()-Y",-0.0626729573068182
27,"WALKING_UPSTAIRS","fBodyAcc-mean()-Y",-0.249688517843137
28,"LAYING","fBodyAcc-mean()-Y",-0.958436369
28,"SITTING","fBodyAcc-mean()-Y",-0.946351650416667
28,"STANDING","fBodyAcc-mean()-Y",-0.893430392658228
28,"WALKING","fBodyAcc-mean()-Y",-0.127912276044444
28,"WALKING_DOWNSTAIRS","fBodyAcc-mean()-Y",0.186441733869565
28,"WALKING_UPSTAIRS","fBodyAcc-mean()-Y",-0.190589069119608
29,"LAYING","fBodyAcc-mean()-Y",-0.989034304057971
29,"SITTING","fBodyAcc-mean()-Y",-0.969609501666667
29,"STANDING","fBodyAcc-mean()-Y",-0.973345770461538
29,"WALKING","fBodyAcc-mean()-Y",-0.0349642325433962
29,"WALKING_DOWNSTAIRS","fBodyAcc-mean()-Y",-0.02122937175
29,"WALKING_UPSTAIRS","fBodyAcc-mean()-Y",-0.196011503540816
30,"LAYING","fBodyAcc-mean()-Y",-0.959974274571429
30,"SITTING","fBodyAcc-mean()-Y",-0.954076042258065
30,"STANDING","fBodyAcc-mean()-Y",-0.919475121186441
30,"WALKING","fBodyAcc-mean()-Y",-0.193856663907692
30,"WALKING_DOWNSTAIRS","fBodyAcc-mean()-Y",-0.0216637054241935
30,"WALKING_UPSTAIRS","fBodyAcc-mean()-Y",-0.297813768569231
1,"LAYING","fBodyAcc-mean()-Z",-0.8826668762
1,"SITTING","fBodyAcc-mean()-Z",-0.959184889148936
1,"STANDING","fBodyAcc-mean()-Z",-0.985297098679245
1,"WALKING","fBodyAcc-mean()-Z",-0.331560117789474
1,"WALKING_DOWNSTAIRS","fBodyAcc-mean()-Z",-0.225574471693878
1,"WALKING_UPSTAIRS","fBodyAcc-mean()-Z",-0.433349702075472
2,"LAYING","fBodyAcc-mean()-Z",-0.984380981875
2,"SITTING","fBodyAcc-mean()-Z",-0.970162172608696
2,"STANDING","fBodyAcc-mean()-Z",-0.962471195740741
2,"WALKING","fBodyAcc-mean()-Z",-0.453806369830508
2,"WALKING_DOWNSTAIRS","fBodyAcc-mean()-Z",-0.131290772
2,"WALKING_UPSTAIRS","fBodyAcc-mean()-Z",-0.281001986202083
3,"LAYING","fBodyAcc-mean()-Z",-0.968332141612903
3,"SITTING","fBodyAcc-mean()-Z",-0.917987925384615
3,"STANDING","fBodyAcc-mean()-Z",-0.939507735245902
3,"WALKING","fBodyAcc-mean()-Z",-0.412374074482759
3,"WALKING_DOWNSTAIRS","fBodyAcc-mean()-Z",-0.404452414285714
3,"WALKING_UPSTAIRS","fBodyAcc-mean()-Z",-0.504494528474576
4,"LAYING","fBodyAcc-mean()-Z",-0.967504278888889
4,"SITTING","fBodyAcc-mean()-Z",-0.9517837432
4,"STANDING","fBodyAcc-mean()-Z",-0.93164342125
4,"WALKING","fBodyAcc-mean()-Z",-0.631005470833333
4,"WALKING_DOWNSTAIRS","fBodyAcc-mean()-Z",-0.494683451555556
4,"WALKING_UPSTAIRS","fBodyAcc-mean()-Z",-0.524655722692308
5,"LAYING","fBodyAcc-mean()-Z",-0.977007724615385
5,"SITTING","fBodyAcc-mean()-Z",-0.946064216818182
5,"STANDING","fBodyAcc-mean()-Z",-0.915083799107143
5,"WALKING","fBodyAcc-mean()-Z",-0.490251090714286
5,"WALKING_DOWNSTAIRS","fBodyAcc-mean()-Z",-0.374740089574468
5,"WALKING_UPSTAIRS","fBodyAcc-mean()-Z",-0.457470676808511
6,"LAYING","fBodyAcc-mean()-Z",-0.938044912280702
6,"SITTING","fBodyAcc-mean()-Z",-0.935798115272727
6,"STANDING","fBodyAcc-mean()-Z",-0.942864017017544
6,"WALKING","fBodyAcc-mean()-Z",-0.498520164385965
6,"WALKING_DOWNSTAIRS","fBodyAcc-mean()-Z",-0.277602590916667
6,"WALKING_UPSTAIRS","fBodyAcc-mean()-Z",-0.42724809972549
7,"LAYING","fBodyAcc-mean()-Z",-0.958611644615385
7,"SITTING","fBodyAcc-mean()-Z",-0.904675337916667
7,"STANDING","fBodyAcc-mean()-Z",-0.938550519811321
7,"WALKING","fBodyAcc-mean()-Z",0.0385832252345614
7,"WALKING_DOWNSTAIRS","fBodyAcc-mean()-Z",-0.139216222106383
7,"WALKING_UPSTAIRS","fBodyAcc-mean()-Z",-0.317461021372549
